VA Boston Healthcare System Residency in Ocular Disease|1400 VFW Parkway|West Roxbury|MA|2132|/www.boston.va.gov/
Minneapolis Community and Technical College|1501 Hennepin Ave|Minneapolis|MN|55403-1779|/www.mctc.mnscu.edu
Minneapolis Community and Technical College|1501 Hennepin Ave|Minneapolis|MN|55403-1779|/www.mctc.mnscu.edu
Minneapolis Community and Technical College|1501 Hennepin Ave|Minneapolis|MN|55403-1779|/www.mctc.mnscu.edu
Minneapolis Community and Technical College|1501 Hennepin Ave|Minneapolis|MN|55403-1779|/www.mctc.mnscu.edu
Minneapolis Community and Technical College|1501 Hennepin Ave|Minneapolis|MN|55403-1779|/www.mctc.mnscu.edu
Minneapolis Community and Technical College|1501 Hennepin Ave|Minneapolis|MN|55403-1779|/www.mctc.mnscu.edu
Clarian Health Education Center|2039 North Capitol Avenue, Room 110|Indianapolis|IN|46202|11months.clarian.com
International Barber & Style College, LLC|3744 Annex Avenue, Suite A2|Nashville|TN|37209-4305|1wcu.com
Academy of Cosmetology|1901 West William Cannon Drive|Austin|TX|78745|academyofcosmetology.net
Academy of Massage Therapy - Hackensack|321 Main Street, 2nd Floor|Hackensack|NJ|7601|academyofmassage.com
Academy of Massage Therapy - Hackensack|321 Main Street, 2nd Floor|Hackensack|NJ|7601|academyofmassage.com
Bold Beauty Academy|928 Broadwater Ave, Suite B|Billings|MT|59101|academyofnailandskin.com
Academy of Medical and Health Science Inc.|1339 South Pueblo Blvd., Suite 100|Pueblo|CO|81005|academyweb.info
American Commercial College|2007 34th St|Lubbock|TX|79411|acc-careers.com
American Commercial College - Abilene|402 Butternut St|Abilene|TX|79602|acc-careers.com
American Commercial College - Abilene|402 Butternut St|Abilene|TX|79602|acc-careers.com
American Commercial College of Texas|5119 Twin Towers|Odessa|TX|79762|acc-careers.com
American Commercial College of Texas|5119 Twin Towers|Odessa|TX|79762|acc-careers.com
Anson College of Cosmetology|1217 East Caswell Street|Wadesboro|NC|28170|accschool.peedeeworld.net
ACE Computer Training Center|109-19 72nd Road, Suite 4F|Forest Hills|NY|11375|aceedu.com
ACE Computer Training Center|109-19 72nd Road, Suite 4F|Forest Hills|NY|11375|aceedu.com
American College of Healthcare|11801 Pierce Street, Suite 100|Riverside|CA|92505|ACHPONLINE.COM
American College of Healthcare|11801 Pierce Street, Suite 100|Riverside|CA|92505|ACHPONLINE.COM
American College of Healthcare|11801 Pierce Street, Suite 100|Riverside|CA|92505|ACHPONLINE.COM
American College of Medical Technology|555 W Redondo Blvd Ste 100|Gardena|CA|90248-1611|acmt.ac/
Capstone College|1200 North Fair Oaks Avenue, #32|Pasadena|CA|91103|adelantecareerinstitute.com
Aviation and Electronic Schools of America - Colfax|111 South Railroad Street|Colfax|CA|95713|aesa.com
Aviation and Electronic Schools of America - Colfax|111 South Railroad Street|Colfax|CA|95713|aesa.com
American University of Health Sciences|1600 East Hill Street|Signal Hill|CA|90755|aihs.edu
American University of Health Sciences|1600 East Hill Street|Signal Hill|CA|90755|aihs.edu
Gerber Akron Beauty School|195 West Market Street|Akron|OH|44313|AkronBeautySchool.com
Adult Vocational Services|147 Park St|Akron|OH|44308-1979|akronschools.com
Samuel S. Stratton VAMC Residency in Clinical Psychology|113 Holland Ave|Albany|NY|12208|albany.va.gov
Alexandria Academy of Beauty Culture|2305 Rapides Ave|Alexandria|LA|71301-5730|alexacebeauty.com
Fortis Institute - Scranton|517 Ash Street|Scranton|PA|18509-2903|alliedteched.edu
Fortis Institute - Scranton|517 Ash Street|Scranton|PA|18509-2903|alliedteched.edu
Paul Mitchell The School - Danbury|2 National Place|Danbury|CT|6810|americanacademyofcosmetology.com
American Beauty Academy - Wheaton|11600 Veirs Mill Road|Wheaton|MD|20902-1911|americanbeautyacademy.org
American Beauty Academy - Wheaton|11600 Veirs Mill Road|Wheaton|MD|20902-1911|americanbeautyacademy.org
American Beauty Academy - Wheaton|11600 Veirs Mill Road|Wheaton|MD|20902-1911|americanbeautyacademy.org
American College of Hairstyling - Cedar Rapids|1531 First Ave SE|Cedar Rapids|IA|52402|americancollegeofhair.com
American Career Institute - Wheaton|8403 Colesville Road, Suite 200|Silver Spring|MD|20910|americareschool.com
American Career Institute - Wheaton|8403 Colesville Road, Suite 200|Silver Spring|MD|20910|americareschool.com
American Career Institute - Wheaton|8403 Colesville Road, Suite 200|Silver Spring|MD|20910|americareschool.com
American Career Institute - Wheaton|8403 Colesville Road, Suite 200|Silver Spring|MD|20910|americareschool.com
American Career Institute - Wheaton|8403 Colesville Road, Suite 200|Silver Spring|MD|20910|americareschool.com
American Career Institute - Wheaton|8403 Colesville Road, Suite 200|Silver Spring|MD|20910|americareschool.com
American Career Institute - Wheaton|8403 Colesville Road, Suite 200|Silver Spring|MD|20910|americareschool.com
American Career Institute - Wheaton|8403 Colesville Road, Suite 200|Silver Spring|MD|20910|americareschool.com
Antonelli College - Hattiesburg|1500 N 31st Ave|Hattiesburg|MS|39401|antonellic.com
Arthur's Beauty College, Inc. - Jacksonville|2600 John Harden Drive|Jacksonville|AR|72076|arthursbeautycollege.com
Empire Beauty School - Glendale|10820 North 43rd Ave Ste 12|Glendale|AZ|85304|artisticbeautycolleges.com
Empire Beauty School - Westminster|3049 West 74th Avenue|Westminster|CO|80030|artisticbeautycolleges.com
Ashdown College of Health Sciences|101 East Redlands Blvd. Suite 285|Redlands|CA|92373|ashdowncollege.edu
Ohio State University Agricultural Technical Institute|1328 Dover Rd|Wooster|OH|44691-4000|ati.ag.ohio-state.edu
ATI Career Training Center - Miami|7265 NW 25th Street|Miami|FL|33122-1707|aticareertraining.com
Bauder College|384 Northyards Blvd., Suite 190|Atlanta|GA|30313|atlanta.bauder.edu/pages/homepage.aspx
Atlanta Job Corps Center|239 West Lake Avenue, NW|Atlanta|GA|30314|atljcc.org
Brillare Hairdressing Academy - Scottsdale|15147 North Scottsdale Road, Building H, Suite 300|Scottsdale|AZ|85254|attheacademy.com
Brillare Hairdressing Academy - Scottsdale|15147 North Scottsdale Road, Building H, Suite 300|Scottsdale|AZ|85254|attheacademy.com
Institute of Audio Research|64 University Pl|New York|NY|10003|audioschool.com
Alaska Vocational Technical Center|809 Second Avenue|Seward|AK|99664-0889|avtec.labor.state.ak.us/
Alaska Vocational Technical Center|809 Second Avenue|Seward|AK|99664-0889|avtec.labor.state.ak.us/
Allegheny Wesleyan College|2161 Woodsdale Rd|Salem|OH|44460-9598|awc.edu
Baystate Medical Center|759 Chestnut Street|Springfield|MA|1199|baystatehealth.com
Baystate Medical Center|759 Chestnut Street|Springfield|MA|1199|baystatehealth.com
Inter American University of Puerto Rico - Bayamon|500 Dr. John Will Harris|Bayamon|PR|957|bc.inter.edu
Inter American University of Puerto Rico - Bayamon|500 Dr. John Will Harris|Bayamon|PR|957|bc.inter.edu
Beacon University|6003 Veterans Parkway|Columbus|GA|31909-4663|beacon.edu
Beacon University|6003 Veterans Parkway|Columbus|GA|31909-4663|beacon.edu
Beal College|99 Farm Road|Bangor|ME|4401|bealcollege.edu
Career Academy of Beauty|12471 Valley View|Garden Grove|CA|92845-0000|BeautyCareers.com
Career Academy of Beauty|663 N Euclid|Anaheim|CA|92801|BeautyCareers.com
Career Academy of Hair Design|346 East Robinson Avenue|Springdale|AR|72764|beautyschool.edu
Career Academy of Hair Design|346 East Robinson Avenue|Springdale|AR|72764|beautyschool.edu
Career Academy of Hair Design|346 East Robinson Avenue|Springdale|AR|72764|beautyschool.edu
Bellevue University|1000 Galvin Rd S|Bellevue|NE|68005-3098|BELLEVUE.EDU
Bellevue University|1000 Galvin Rd S|Bellevue|NE|68005-3098|BELLEVUE.EDU
Bellevue University|1000 Galvin Rd S|Bellevue|NE|68005-3098|BELLEVUE.EDU
Bellevue University|1000 Galvin Rd S|Bellevue|NE|68005-3098|BELLEVUE.EDU
Bellevue University|1000 Galvin Rd S|Bellevue|NE|68005-3098|BELLEVUE.EDU
Bellevue University|1000 Galvin Rd S|Bellevue|NE|68005-3098|BELLEVUE.EDU
Bellevue University|1000 Galvin Rd S|Bellevue|NE|68005-3098|BELLEVUE.EDU
Bellevue University|1000 Galvin Rd S|Bellevue|NE|68005-3098|BELLEVUE.EDU
Bellevue University|1000 Galvin Rd S|Bellevue|NE|68005-3098|BELLEVUE.EDU
Bellevue University|1000 Galvin Rd S|Bellevue|NE|68005-3098|BELLEVUE.EDU
Bellevue University|1000 Galvin Rd S|Bellevue|NE|68005-3098|BELLEVUE.EDU
Bellevue University|1000 Galvin Rd S|Bellevue|NE|68005-3098|BELLEVUE.EDU
Bellevue University|1000 Galvin Rd S|Bellevue|NE|68005-3098|BELLEVUE.EDU
Bellevue University|1000 Galvin Rd S|Bellevue|NE|68005-3098|BELLEVUE.EDU
Bellevue University|1000 Galvin Rd S|Bellevue|NE|68005-3098|BELLEVUE.EDU
Bellevue University|1000 Galvin Rd S|Bellevue|NE|68005-3098|BELLEVUE.EDU
Bellevue University|1000 Galvin Rd S|Bellevue|NE|68005-3098|BELLEVUE.EDU
Bellevue University|1000 Galvin Rd S|Bellevue|NE|68005-3098|BELLEVUE.EDU
Bellevue University|1000 Galvin Rd S|Bellevue|NE|68005-3098|BELLEVUE.EDU
Bellevue University|1000 Galvin Rd S|Bellevue|NE|68005-3098|BELLEVUE.EDU
Bellevue University|1000 Galvin Rd S|Bellevue|NE|68005-3098|BELLEVUE.EDU
Bellevue University|1000 Galvin Rd S|Bellevue|NE|68005-3098|BELLEVUE.EDU
Bellevue University|1000 Galvin Rd S|Bellevue|NE|68005-3098|BELLEVUE.EDU
Bellevue University|1000 Galvin Rd S|Bellevue|NE|68005-3098|BELLEVUE.EDU
Bellevue University|1000 Galvin Rd S|Bellevue|NE|68005-3098|BELLEVUE.EDU
Bellevue University|1000 Galvin Rd S|Bellevue|NE|68005-3098|BELLEVUE.EDU
Bellevue University|1000 Galvin Rd S|Bellevue|NE|68005-3098|BELLEVUE.EDU
Bellevue University|1000 Galvin Rd S|Bellevue|NE|68005-3098|BELLEVUE.EDU
Bellevue University|1000 Galvin Rd S|Bellevue|NE|68005-3098|BELLEVUE.EDU
Bellevue University|1000 Galvin Rd S|Bellevue|NE|68005-3098|BELLEVUE.EDU
Bellevue University|1000 Galvin Rd S|Bellevue|NE|68005-3098|BELLEVUE.EDU
Bellevue University|1000 Galvin Rd S|Bellevue|NE|68005-3098|BELLEVUE.EDU
Bellevue University|1000 Galvin Rd S|Bellevue|NE|68005-3098|BELLEVUE.EDU
Bellevue University|1000 Galvin Rd S|Bellevue|NE|68005-3098|BELLEVUE.EDU
Bellevue University|1000 Galvin Rd S|Bellevue|NE|68005-3098|BELLEVUE.EDU
Bellevue University|1000 Galvin Rd S|Bellevue|NE|68005-3098|BELLEVUE.EDU
Bellevue University|1000 Galvin Rd S|Bellevue|NE|68005-3098|BELLEVUE.EDU
Bellevue University|1000 Galvin Rd S|Bellevue|NE|68005-3098|BELLEVUE.EDU
Bellin College/ Bellin Health School of Radiologic Technology|744 S Webster Avenue|Green Bay|WI|54305-3400|bellin.org
Bellingham Beauty School|4192 Meridian Street|Bellingham|WA|98226-5515|Bellinghambeautyschool.com
Saint Vincent Seminary|300 Fraser Purchase Rd|Latrobe|PA|15650-2690|benedictine.stvincent.edu/seminary
Ohio Center for Broadcasting - Colorado Campus|1310 Wadsworth Blvd. Suite 100|Lakewood|CO|80214|beonair.com
Ohio Center for Broadcasting - Columbus|5330 East Main Street, 2nd Floor|Columbus|OH|43213|beonair.com
Berdan Institute|201 Willowbrook Blvd., 2nd Floor|Wayne|NJ|7470|berdaninstitute.com
Berdan Institute|201 Willowbrook Blvd., 2nd Floor|Wayne|NJ|7470|berdaninstitute.com
Berdan Institute|201 Willowbrook Blvd., 2nd Floor|Wayne|NJ|7470|berdaninstitute.com
Berkeley City College|2050 Center Street|Berkeley|CA|94704|berkeley.peralta.edu
Best Care Training Institute|68 South Harrison Street|East Orange|NJ|7018|bestcarehealth.com
Northwestern Institute of Health and Technology|4641 N. Ashland Ave|Chicago|IL|60640|beta.nwiht.org
Buckeye Hills Career Center|351 Buckeye Hills Road,  P.O. Box 157|Rio Grande|OH|45674-0157|bhcc.K12.oh.us/
Buckeye Hills Career Center|351 Buckeye Hills Road,  P.O. Box 157|Rio Grande|OH|45674-0157|bhcc.K12.oh.us/
Ohio State School of Cosmetology|6077 Gender Road|Canal Winchester|OH|43110|blottsalonschools.com
Alderson Broaddus University|101 College Hill Drive|Philippi|WV|26416|blue.ab.edu/
Alderson Broaddus University|101 College Hill Drive|Philippi|WV|26416|blue.ab.edu/
Alderson Broaddus University|101 College Hill Drive|Philippi|WV|26416|blue.ab.edu/
Alderson Broaddus University|101 College Hill Drive|Philippi|WV|26416|blue.ab.edu/
Blue Cliff Career College|2970 Cottage Hill Rd., Suite 175|Mobile|AL|36606|BLUECLIFFMASSAGE.COM
Ben Franklin Career & Technical Education Center|500 28th St|Dunbar|WV|25064|boe.kana.k12.wv.us/
Ben Franklin Career & Technical Education Center|500 28th St|Dunbar|WV|25064|boe.kana.k12.wv.us/
Monongalia County Technical Education Center|1000 Mississippi Street|Morgantown|WV|26501-6841|boe.mono.k12.wv.us/montec
Monongalia County Technical Education Center|1000 Mississippi Street|Morgantown|WV|26501-6841|boe.mono.k12.wv.us/montec
Putnam Career and Technical Center|PO Box 640|Eleanor|WV|25070-0640|boe.putn.k12.wv.us/pctc
Putnam Career and Technical Center|PO Box 640|Eleanor|WV|25070-0640|boe.putn.k12.wv.us/pctc
Manhattan Language Training, Inc.|145 W. 30th Street, 9th Floor|New York|NY|10001|bonitavander@gmail.com
Marinello School of Beauty - Provo|2230 North University Parkway, Building #5|Provo|UT|84604|bonlosee.com
Bramson ORT College|69-30 Austin St|Forest Hills|NY|11375-4239|bramsonort.org
Baton Rouge College|1900 North Lobdall Avenue|Baton Rouge|LA|70806|brc.edu
Baton Rouge College|1900 North Lobdall Avenue|Baton Rouge|LA|70806|brc.edu
Baton Rouge College|1900 North Lobdall Avenue|Baton Rouge|LA|70806|brc.edu
Brewster Technical Center|2222 North Tampa Street|Tampa|FL|33602-2196|brewstertech.org
Marinello School of Beauty|1231 East Main Street|Meriden|CT|06450-4836|brioacademy.com
Marinello School of Beauty|1231 East Main Street|Meriden|CT|06450-4836|brioacademy.com
Broward County Public Schools|600 South East 3rd Avenue, 11th Floor|Ft. Lauderdale|FL|33301|browardschools.com/schoolboard/
Brownson Technical School|1110 Technology Cir Ste D|Anaheim|CA|92805|brownsontechnicalschool.com
