atsu.edu|A.T. Still University of Health Sciences|AZ / MO
acu.edu|Abilene Christian University|TX
abac.edu|Abraham Baldwin Agricultural College|GA
academyart.edu|Academy of Art University|CA
adams.edu|Adams State College|CO
adelphi.edu|Adelphi University|NY
alfredadler.edu|Adler Graduate School|MN
adler.edu|Adler School of Professional Psychology|IL
adrian.edu|Adrian College|MI
adu.edu|Adventist University of Health Sciences|FL
agnesscott.edu|Agnes Scott College|GA
aib.edu|AIB College of Business|IA
afit.edu|Air Force Institute of Technology|OH
maxwell.af.mil/units/au|Air University|AL
aamu.edu|Alabama A&M University|AL
alasu.edu|Alabama State University|AL
akbible.edu|Alaska Bible College|AK
alaskapacific.edu|Alaska Pacific University|AK
acphs.edu|Albany College of Pharmacy & Health Sciences|NY
amc.edu|Albany Medical College|NY
asurams.edu|Albany State University|GA
albertus.edu|Albertus Magnus College|CT
albion.edu|Albion College|MI
albright.edu|Albright College|PA
alcorn.edu|Alcorn State University|MS
ab.edu|Alderson-Broaddus College|WV
alfred.edu|Alfred University|NY
alc.edu|Alice Lloyd College|KY
allegheny.edu|Allegheny College|PA
allencollege.edu|Allen College|IA
allenuniversity.edu|Allen University|SC
alliant.edu|Alliant International University|CA
alma.edu|Alma College|MI
alvernia.edu|Alvernia University|PA
alverno.edu|Alverno College|WI
ambassador.edu|Ambassador University|TX) <I>(closed spring 1997)</I></LI>
amberton.edu|Amberton University|TX
aaart.edu|American Academy of Art|IL
theamericancollege.edu|American College|PA
acaom.edu|American College of Acupuncture & Oriental Medicine|TX
ace.edu|American College of Education|IL
act-sf.org|American Conservatory Theater|CA
afi.com|American Film Institute|CA
aicag.edu|American Indian College of the Assemblies of God|AZ
aiuniv.edu|American InterContinental University|IL
aic.edu|American International College|MA
aju.edu|American Jewish University|CA
amu.apus.edu|American Military University|WV
apu.apus.edu|American Public University|WV
american.edu|American University|DC
aupr.edu|American University of Puerto Rico|PR
amherst.edu|Amherst College|MA
amridgeuniversity.edu|Amridge University|AL
andersonuniversity.edu|Anderson University|SC
anderson.edu|Anderson University|IN
ants.edu|Andover Newton Theological School|MA
andrews.edu|Andrews University|MI
angelo.edu|Angelo State University|TX
annamaria.edu|Anna Maria College|MA
antiochcollege.org|Antioch College|OH
midwest.antioch.edu|Antioch University-Midwest|OH
antiochne.edu|Antioch University-New England|NH
antiochla.edu|Antioch University-Los Angeles|CA
antiochsb.edu|Antioch University-Santa Barbara|CA
antiochseattle.edu|Antioch University-Seattle|WA
aoma.edu|AOMA Graduate School of Integrative Medicine|TX
abc.edu|Appalachian Bible College|WV
appstate.edu|Appalachian State University|NC
aquinas.edu|Aquinas College|MI
aquinascollege.edu|Aquinas College|TN
ai.edu|Aquinas Institute of Theology|MO
arcadia.edu|Arcadia University|PA
argosy.edu|Argosy University|IL
arizonachristian.edu|Arizona Christian University|AZ
asu.edu|Arizona State University|AZ
campus.asu.edu/downtown|Arizona State University-Downtown Phoenix Campus|AZ
campus.asu.edu/polytechnic|Arizona State-Polytechnic Campus|AZ
campus.asu.edu/west|Arizona State University-West Campus|AZ
arkansasbaptist.edu|Arkansas Baptist College|AR
astate.edu|Arkansas State University|AR
atu.edu|Arkansas Tech University|AR
arlingtonbaptistcollege.edu|Arlington Baptist College|TX
armstrong.edu|Armstrong Atlantic State University|GA
artacademy.edu|Art Academy of Cincinnati|OH
artcenter.edu|Art Center College of Design|CA
artinstitutes.edu/atlanta|Art Institute of Atlanta|GA
artinstitutes.edu/denver|Art Institute of Colorado|CO
artinstitutes.edu/dallas|Art Institute of Dallas|TX
artinstitutes.edu/houston|Art Institute of Houston|TX
artinstitutes.edu/pittsburgh|Art Institute of Pittsburgh|PA
artinstitutes.edu/portland|Art Institute of Portland|OR
artinstitutes.edu/seattle|Art Institute of Seattle|WA
asburyseminary.edu|Asbury Theological Seminary|KY
asbury.edu|Asbury University|KY
ashford.edu|Ashford University|IA
ashland.edu|Ashland University|OH
ambs.edu|Associated Mennonite Biblical Seminary|IN
assumption.edu|Assumption College|MA
athenaeum.edu|Athenaeum of Ohio|OH
athens.edu|Athens State University|AL
auburn.edu|Auburn University|AL
aum.edu|Auburn University at Montgomery|AL
augsburg.edu|Augsburg College|MN
augustana.edu|Augustana College|IL
augie.edu|Augustana College|SD
aurora.edu|Aurora University|IL
austincollege.edu|Austin College|TX
austingrad.edu|Austin Graduate School of Theology|TX
apsu.edu|Austin Peay State University|TN
austinseminary.edu|Austin Presbyterian Theological Seminary|TX
avemaria.edu|Ave Maria University|FL
averett.edu|Averett University|VA
avila.edu|Avila University|MO
apu.edu|Azusa Pacific University|CA
daemen.edu|Daemen College|NY
dsu.edu|Dakota State University|SD
dwu.edu|Dakota Wesleyan University|SD
dbu.edu|Dallas Baptist University|TX
dallas.edu|Dallas Christian College|TX
dts.edu|Dallas Theological Seminary|TX
daltonstate.edu|Dalton State College|GA
dwc.edu|Daniel Webster College|NH
dartmouth.edu|Dartmouth College|NH
davenport.edu|Davenport University|MI
davidson.edu|Davidson College|NC
davisny.edu|Davis College|NY
dewv.edu|Davis & Elkins College|WV
daytonastate.edu|Daytona State College|FL
dean.edu|Dean College|MA
defiance.edu|Defiance College|OH
desu.edu|Delaware State University|DE
delval.edu|Delaware Valley College|PA
deltastate.edu|Delta State University|MS
denison.edu|Denison University|OH
denverseminary.edu|Denver Seminary|CO
depaul.edu|DePaul University|IL
depauw.edu|DePauw University|IN
